	host_response_rate	host_listings_count	host_verificationCount	host_since_deltaDays	calculated_host_listings_count	latitude	longitude	accommodates	bathrooms	bedrooms	beds	price	weekly_price	security_deposit	cleaning_fee	guests_included	extra_people	minimum_nights	maximum_nights	number_of_reviews	last_review_deltaDays	first_review_deltaDays	review_scores_rating	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	reviews_per_month	performance
3105	4.6151204	1.0986123	5	1125.0	1.0986123	47.727764	-122.29884	1.3862944	0.91629076	0.6931472	1.3862944	4.1431346	6.0544395	5.3033047	3.4339871	0.6931472	2.3978953	0.6931472	2.7080503	3.7612002	4.59511985013459	6.234410725718371	4.574711	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2441546	5.4727745
3107	4.6151204	1.3862944	4	975.0	1.3862944	47.727024	-122.304276	0.6931472	0.6931472	0.6931472	0.6931472	4.2904596	6.4785094	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	0.6931472	5.2574953720277815	5.2574953720277815	4.394449	2.3978953	1.9459102	2.1972246	1.9459102	1.9459102	2.1972246	0.14842	2.6246686
3108	4.6151204	0.6931472	4	1742.0	0.6931472	47.720436	-122.308586	1.0986123	0.6931472	0.6931472	0.6931472	4.564348	6.4785094	5.3033047	3.2580965	1.0986123	2.7725887	0.6931472	7.026427	1.3862944	3.6375861597263857	3.912023005428146	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	1.0296195	5.198497
3109	4.6151204	1.3862944	4	988.0	1.3862944	47.722023	-122.30364	1.0986123	0.6931472	0.6931472	1.0986123	3.988984	5.786897	5.3033047	2.3978953	1.0986123	3.0445225	0.6931472	2.7080503	3.218876	2.833213344056216	5.298317366548036	4.543295	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3025851	1.5260563	5.816516
3110	4.1108737	0.6931472	4	121.0	0.6931472	47.688457	-122.3103	1.0986123	1.0986123	0.6931472	0.6931472	4.189655	6.4785094	5.3033047	3.9318256	0.6931472	0.0	0.6931472	2.7080503	1.0986123	3.6109179126442243	4.727387818712341	4.6151204	2.3978953	2.3025851	2.3025851	2.3025851	2.3025851	2.3978953	0.42526773	3.9889839
3111	4.6151204	0.6931472	5	1694.0	0.6931472	47.67737	-122.31487	1.609438	0.6931472	0.6931472	0.6931472	4.394449	6.4785094	5.3033047	3.583519	1.0986123	2.3978953	0.6931472	7.026427	3.7376697	2.70805020110221	5.75890177387728	4.5849676	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.5851452	5.9332
3112	4.6151204	0.6931472	4	1414.0	0.6931472	47.68039	-122.31867	1.0986123	0.6931472	0.0	0.6931472	4.6634393	6.3117347	5.0172796	3.9318256	1.0986123	3.0445225	1.3862944	4.189655	3.1780539	1.9459101490553132	5.662960480135946	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2237755	5.484797
3113	4.6151204	1.0986123	6	652.0	1.0986123	47.68308	-122.31536	0.6931472	0.91629076	0.6931472	0.6931472	3.713572	6.4785094	4.6151204	2.7725887	0.6931472	0.0	1.0986123	1.7917595	0.6931472	4.74493212836325	4.74493212836325	4.394449	2.3978953	2.3978953	2.3978953	2.3978953	1.9459102	2.3978953	0.2311117	3.08191
3114	4.6151204	0.6931472	5	760.0	0.6931472	47.6879	-122.323845	1.609438	0.6931472	1.0986123	1.0986123	4.543295	6.398595	5.7071104	4.6151204	1.609438	3.0445225	3.4339871	5.198497	2.4849067	4.795790545596741	6.302618975744905	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3025851	0.47000366	4.060443
3116	4.6151204	0.6931472	3	216.0	0.6931472	47.67648	-122.31971	1.0986123	0.6931472	0.6931472	0.6931472	4.6151204	6.3117347	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	1.9459102	4.804021044733257	5.318119993844216	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.6312718	4.4886365
3118	4.6151204	1.9459102	5	2315.0	1.7917595	47.687252	-122.31313	1.0986123	0.6931472	0.6931472	0.6931472	4.4188404	6.265301	5.3033047	3.4339871	0.6931472	0.0	1.0986123	4.1108737	3.583519	4.3694478524670215	6.822197390620491	4.5325994	2.3978953	2.3025851	2.3978953	2.3025851	2.3025851	2.3025851	0.76080585	4.6623063
3119	4.6151204	1.7917595	5	936.0	1.0986123	47.683327	-122.312225	1.9459102	0.6931472	1.3862944	1.609438	5.3471074	7.167038	5.8607864	4.836282	1.0986123	2.7725887	1.0986123	3.4339871	2.0794415	4.543294782270004	5.093750200806762	4.553877	2.3025851	2.3025851	2.3978953	2.3978953	2.3025851	2.3025851	0.82855177	4.80615
